Heliophysics Knowledgebase Features/Events Specification (Last updated:31-Aug-2010 09:16:08),,,,,,,,,,,,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Type,Dimensions,AR,CE,CD,CH,CW,FI,FE,FA,FL,LP,OS,SS,EF,CJ,PG,OT,NR,SG,SP,CR,CC,ER,Source,VOParamType,R/O,VOTranslation,Description
Full_Name,-,-,ActiveRegion,CME,CoronalDimming,CoronalHole,CoronalWave,Filament,FilamentEruption,FilamentActivation,Flare,Loop,Oscillation,Sunspot,EmergingFlux,CoronalJet,Plage,Other,NothingReported,Sigmoid,SpraySurge,CoronalRain,CoronalCavity,Eruption,-,-,-,-,Feature Type
Event_Probability,float,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,why,o,Inference probability,Probability or Confidence Level that event occured (bet. 0 and 1)
Event_Type,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,unk,why,r,Concept,Event Type (e.g. 'FL: Flare' or 'AR: ActiveRegion')
KB_ArchivDate,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,pub,who,r,Date, Date when VOEvent entry was imported into Knowledge Base
KB_ArchivID,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,pub,who,r,VOEvent id, Unique internal ID of VOEvent entry 
KB_Archivist,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,pub,who,r,Name, Name of Archivist (internal. user should leave blank)
KB_ArchivURL,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,pub,who,r,AuthorIVORN, URL of VOEvent entry (internal. user should leave blank)
Event_CoordSys,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,data,wherewhen,r,AstroCoords coord_system_id, Coordinate system type (Choose between UTC-HGS-TOPO [Heliographics Stonyhurst]; UTC-HPR-TOPO [Helioprojective]; UTC-HGC-TOPO[Heliographic Carrington]; UTC-HCR-TOPO[Helio-centric radial])
Event_CoordUnit,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,Position2d unit, Units of coordinates (e.g. "degtext_comma deg" for UTC-HGS-TOP0)
Event_EndTime,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,StopTime,Time when event ends (e.g. 2004-02-14T02:00:01)
Event_StartTime,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,StartTime,Time when event starts  (e.g. 2004-02-14T02:00:01)
Event_Expires,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,why,o,When the entry is set to expiry in the HEK,  Useful for reporting events before they are complete (e.g. 2004-02-14T02:00:01)
Event_Coord1,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,C1, Coordinate 1 of mean location of event
Event_Coord2,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,C2, Coordinate 2 of mean location of event
Event_Coord3,float,various,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,C3, Coordinate 3 of mean location of event (optional. Suitable for use with STEREO SECCHI events)
Event_MapURL,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,-,o,Reference uri,URL to an image/intensity map
Event_MaskURL,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,URL to files which contain masks (e.g. binary masks) of region of interest.
Event_PeakTime,string,-,0,0,5,0,5,5,5,5,9,0,5,5,5,5,5,5,5,5,5,5,5,5,data,wherewhen,o,-,Peak time of a flare (e.g. '2003-02-12T23:03:01')
Event_C1Error,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,Position2d/Error2,Uncertainty in Coord1 of the mean location of the event.
Event_C2Error,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,Position2d/Error2,Uncertainty in Coord2 of the mean location of the event.
Event_ClippedSpatial,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Whether the spatial extent of the event is wholly contained within the data set ('T' or 'F').
Event_ClippedTemporal,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Whether the temporal duration of the event is wholly contained within the data set ('T' or 'F').
Event_TestFlag,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,data,how,o,-,A boolean flag to indicate that the event is for testing purposes ('T' or 'F')
FRM_Contact,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,-,Contact information of Feature Recognition Method (FRM)
FRM_DateRun,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,-,Date when Feature Recognition Method (FRM) was run (e.g. 2004-02-15T02:00:01)
FRM_HumanFlag,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,-,Whether a Human identified the event ("T" or "F")
FRM_Identifier,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,-,Username for Knowledge Base
FRM_Institute,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,-,Institute where the Feature Recognition Method (FRM) orginates
FRM_Name,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,-,Name of Feature Recognition Method (e.g. "Mark Cheung" or CACTUS")
FRM_ParamSet,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,-,Values of parameters (e.g. "threshold=0.1")
FRM_VersionNumber,float,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,how,o,-,Version number of automated Feature Recognition Method (Put age if Human. Just kidding. In this case put 1.0)
FRM_URL,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,how,r,Reference uri,URL to webpage containing information about the Feature Recognition Method
FRM_SpecificID,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,how,o,-,The specific ID of this event/feature assigned by the Feature Recognition Method
OBS_Observatory,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,data,wherewhen,r,ObservatoryLocation id,Name of Observatory (e.g. SOHO)
OBS_ChannelID,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,data,how,r,-,Name of Channel of the instrument (e.g. "G band")
OBS_Instrument,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,data,how,r,-,Name of Instrument (e.g. "SOT")
OBS_MeanWavel,float,L,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,data,how,r,-,Mean wavelength (preferably in Angstroms)
OBS_WavelUnit,string,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,data,how,r,-,Unit of OBS_MeanWavel (preferably "Angstroms")
OBS_Title,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,data,how,o,-,Observational title
Bound_CCNsteps,long,-,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Number of steps in bounding chain code (useful for coronal hole boundaries)
Bound_CCStartC1,float,various,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Beginning Coord1 of chain code
Bound_CCStartC2,float,various,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Beginning Coord2 of chain code
Bound_ChainCode,string,-,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,List of vertices for polygon (ordered list delimited by commas. e.g. 'x1text_comma y1text_comma x2text_comma y2text_comma x3text_comma y3text_comma x1text_comma y1') 
BoundBox_C1LL,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,BR_ARC_X0,Coord1 of lower-left corner of bounding box
BoundBox_C2LL,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,BR_ARC_Y0,Coord2 of lower-left corner of bounding box
BoundBox_C1UR,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,BR_ARC_X1,Coord1 of upper-right corner of bounding box
BoundBox_C2UR,float,various,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,method,wherewhen,r,BR_ARC_Y1,Coord2 of upper-right corner of bounding box
ChainCodeType,string,-,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Type of chain code (Use "ordered list")
RasterScan,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Field for ascii string of raster scan
RasterScanType,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Type of raster scan (E.g. "EGSO_SFC" if you are using the EGSO Solar Feature Catalogue convection for the raster scan)
Skel_ChainCode,string,-,0,0,0,5,0,5,5,5,5,9,0,0,0,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Skeleton code. A skeleton code is like a chain code except it isn't closed. (ordered list delimited by commas. e.g. 'x1text_comma y1text_comma x2text_comma y2text_comma x3text_comma y3') 
Skel_Curvature,float,l,0,0,0,0,0,5,5,5,5,9,0,0,0,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-,Curvature of skeleton
Skel_Nsteps,integer,-,0,0,0,5,0,5,5,5,5,9,0,0,0,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-, Number of steps in skeleton
Skel_StartC1,float,various,0,0,0,5,0,5,5,5,5,9,0,0,0,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-, Beginning Coord 1 of skeleton
